job_id,title,role_category,seniority,description,required_skills,nice_to_have_skills,location
J001,Junior Cloud Engineer,Cloud Engineer,Junior,"Support the cloud platform team by provisioning and maintaining AWS environments for application squads. Write and review small Terraform modules, debug container deployment failures, and shadow senior engineers during on-call to learn incident workflows.",aws|terraform|docker|linux|bash|git,python|kubernetes,Remote
J002,Junior Cloud Engineer,Cloud Engineer,Junior,"Work alongside senior engineers on a phased GCP migration, moving workloads out of legacy VMs into managed services. Automate repetitive provisioning and audit tasks with shell and Python scripts, and help document runbooks for the wider engineering org.",gcp|terraform|linux|bash|python|git,docker|kubernetes,Austin TX
J003,Junior Cloud Engineer,Cloud Engineer,Junior,"Provision and tear down Azure environments for internal product teams using ARM templates and Terraform. Learn container orchestration fundamentals by running sandbox workloads and participating in platform design reviews led by senior engineers.",azure|terraform|docker|linux|git,kubernetes|bash,Remote
J004,Associate Cloud Engineer,Cloud Engineer,Junior,"Operate AWS EC2 compute fleets and storage buckets for a mid-sized product org, handling capacity requests and storage lifecycle policies. Contribute to shared CI/CD pipelines and join a rotating on-call schedule for non-production incidents.",aws|ec2|s3|ci-cd|linux|bash|git,terraform|python,Seattle WA
J005,Cloud Engineer,Cloud Engineer,Mid,"Design and operate multi-region AWS footprints that serve customer traffic across North America and Europe. Manage Kubernetes workloads and Helm charts for internal platform services, and partner with application teams on capacity, failover, and release strategy.",aws|terraform|kubernetes|helm|docker|linux|python|ci-cd,gcp|observability,Remote
J006,Cloud Engineer,Cloud Engineer,Mid,"Own the GCP infrastructure-as-code codebase end-to-end for a platform serving dozens of product teams. Implement and tune observability with Prometheus and Grafana, define SLOs with service owners, and lead primary on-call for platform incidents.",gcp|terraform|kubernetes|docker|prometheus|grafana|linux|python,helm|ci-cd,Remote
J007,Cloud Engineer,Cloud Engineer,Mid,"Design event-driven pipelines on AWS Lambda to decouple asynchronous workflows for the core product. Harden IAM policies and S3 bucket configurations, lead quarterly cost reviews, and drive down idle-resource spend across the org.",aws|lambda|s3|iam|terraform|python|cloudwatch,docker|ci-cd,New York NY
J008,Cloud Engineer II,Cloud Engineer,Mid,"Operate production AKS clusters for a regulated customer-facing product, tuning upgrade strategy and node-pool layout for reliability. Author reusable Terraform modules for the platform team's catalog and run technical reviews for consuming application teams.",azure|kubernetes|helm|terraform|docker|linux|bash|ci-cd,python|prometheus,Remote
J009,Cloud Engineer II,Cloud Engineer,Mid,"Maintain a hybrid AWS and GCP footprint as the company gradually standardizes on Kubernetes across both providers. Drive migrations off legacy EC2 instances, run architecture reviews with product teams, and own runbooks for cross-cloud failure modes.",aws|gcp|kubernetes|terraform|docker|linux|python|ci-cd,helm|observability,Denver CO
J010,Senior Cloud Engineer,Cloud Engineer,Senior,"Lead cloud architecture decisions across a multi-account AWS organization, setting patterns for landing zones, networking, and service segmentation. Mentor mid-level engineers on Terraform and Kubernetes best practices and act as the tie-breaker on cross-team design debates.",aws|terraform|kubernetes|helm|docker|python|ci-cd|linux|mentoring,observability|sre,Remote
J011,Senior Cloud Engineer,Cloud Engineer,Senior,"Drive GCP platform strategy for a fast-growing org, setting direction on project hierarchy, networking, and shared services. Own the IAM and compliance posture across production projects, and lead org-wide initiatives on cost efficiency and reliability maturity.",gcp|terraform|kubernetes|iam|python|linux|ci-cd|leadership,compliance|observability,San Francisco CA
J012,Staff Cloud Engineer,Cloud Engineer,Senior,"Architect the AWS platform that supports a 200-engineer organization across multiple product lines. Sponsor cross-team reliability programs, partner with leadership on vendor and commitment strategy, and represent the platform team in architecture governance forums.",aws|terraform|kubernetes|python|ci-cd|sre|leadership|mentoring,observability|helm,Remote
J013,Principal Cloud Engineer,Cloud Engineer,Senior,"Set multi-cloud engineering standards across AWS and GCP and drive a unified platform roadmap reviewed quarterly with leadership. Own org-wide infrastructure-as-code conventions, mentor senior engineers on platform strategy, and advise product leadership on cloud cost and risk.",aws|gcp|terraform|kubernetes|python|leadership|mentoring|sre,compliance|observability,New York NY
J014,Junior Security Analyst,Security Analyst,Junior,"Triage incoming alerts in the SIEM, classify severity, and escalate confirmed incidents per established runbooks. Contribute to detection tuning under senior guidance, and help maintain and expand the team's incident response runbook library for new attack patterns.",siem|splunk|incident-response|linux|network-security,python|owasp,Washington DC
J015,Junior SOC Analyst,Security Analyst,Junior,"Monitor Splunk dashboards on a 24/7 follow-the-sun rotation, identifying anomalous activity and escalating per established playbooks. Assist senior analysts during tabletop exercises, author post-shift summaries, and contribute to weekly detection review meetings.",siem|splunk|soc|incident-response|linux,network-security|python,Remote
J016,Associate Security Analyst,Security Analyst,Junior,"Support the vulnerability management program by running scans, triaging findings, and coordinating remediation with engineering owners. Track remediation SLAs across teams and work on internal pentesting labs to build hands-on offensive skills under senior guidance.",vulnerability-management|owasp|linux|siem,penetration-testing|network-security,Austin TX
